,dataset,classifier,score0,score1,score2,score3,score4,mean_score
0,hca_all,DecisionTreeClassifier,0.77472878111,0.78876834716,0.782317267794,0.781998084903,0.785189913821,0.782600478958
1,hca_all,RandomForestClassifier,0.792597319719,0.793235481812,0.797318863709,0.792850303224,0.796042132142,0.794408820121
2,hca_all,LinearSVC,0.744735162731,0.7383535418,0.749441429939,0.736674114267,0.747207149697,0.743282279687
3,hca_all,KNeighborsClassifier,0.745692405871,0.752074026803,0.741461857644,0.74784551548,0.751037344398,0.747622230039
4,hca_all,LogisticRegressionCV,0.770580727505,0.76451818762,0.745611235238,0.758697733801,0.765719757421,0.761025528317
5,hca_all_recode,DecisionTreeClassifier,0.773133375877,0.773452456924,0.790616022981,0.777848707309,0.787424194063,0.780494951431
6,hca_all_recode,RandomForestClassifier,0.783024888322,0.794830887045,0.796680497925,0.793169486116,0.796042132142,0.79274957831
7,hca_all_recode,LinearSVC,0.410976388003,0.740268028079,0.743696137887,0.757101819342,0.7353973827,0.677487951202
8,hca_all_recode,KNeighborsClassifier,0.745692405871,0.751754945756,0.742100223428,0.74784551548,0.751994893074,0.747877596722
9,hca_all_recode,LogisticRegressionCV,0.741225271219,0.738034460753,0.743376954995,0.747526332589,0.751675710182,0.744367745948
10,hca_household_vars,DecisionTreeClassifier,0.766432673899,0.754307594129,0.756463453559,0.759655282477,0.761251196936,0.7596220402
11,hca_household_vars,RandomForestClassifier,0.767708998086,0.772814294831,0.766038940313,0.769869135014,0.763166294287,0.767919532506
12,hca_household_vars,LinearSVC,0.715379706445,0.738034460753,0.737631662943,0.737950845835,0.738270028726,0.73345334094
13,hca_household_vars,KNeighborsClassifier,0.744735162731,0.75143586471,0.740823491861,0.746568783913,0.750398978615,0.746792456366
14,hca_household_vars,LogisticRegressionCV,0.75047862157,0.756860242502,0.7548675391,0.752314075966,0.750079795723,0.752920054972
15,hca_household_vars_recode,DecisionTreeClassifier,0.764199106573,0.769623484365,0.752952441749,0.771784232365,0.761570379828,0.764025928976
16,hca_household_vars_recode,RandomForestClassifier,0.772176132738,0.767070835992,0.764762208746,0.771145866582,0.765719757421,0.768174960296
17,hca_household_vars_recode,LinearSVC,0.73739629866,0.738034460753,0.74593041813,0.736674114267,0.602617299713,0.712130518305
18,hca_household_vars_recode,KNeighborsClassifier,0.746330567964,0.751754945756,0.740823491861,0.74784551548,0.751675710182,0.747686046249
19,hca_household_vars_recode,LogisticRegressionCV,0.744097000638,0.741225271219,0.738270028726,0.738589211618,0.758697733801,0.744175849201
